date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2014-01-30,sh.600000,9.4400,9.4700,9.0100,9.1700,1551691118,14338788800.0000,3,10.398139,-2.757158
2014-02-28,sh.600000,9.1300,9.8400,8.7700,8.9100,1873410649,17459942304.0000,3,12.554035,-2.835333
2014-03-31,sh.600000,8.9100,10.0100,8.3900,9.7200,3746928452,35066715272.0000,3,25.108788,9.090909
2014-04-30,sh.600000,9.6600,10.4100,9.5700,9.7700,3345729215,33239201540.0000,3,22.420285,0.514403
2014-05-30,sh.600000,9.7700,9.9600,9.4100,9.5700,1565917638,15203598084.0000,3,10.493473,-2.047083
2014-06-30,sh.600000,9.5900,9.8700,8.9600,9.0500,1369540280,13048052516.0000,3,9.177516,1.501219
2014-07-31,sh.600000,9.0800,9.9200,8.9000,9.8000,2160925393,20191491796.0000,3,14.480719,8.287293
2014-08-29,sh.600000,9.7700,9.9600,9.3600,9.4700,2159406979,20850075640.0000,3,14.470544,-3.367347
2014-09-30,sh.600000,9.4900,9.9100,9.4400,9.7500,2772153665,26842919670.0000,3,18.576661,2.956705
2014-10-31,sh.600000,9.7800,10.3800,9.4000,10.2000,2798565871,27512470480.0000,3,18.753653,4.615385
2014-11-28,sh.600000,10.2500,12.4800,9.9500,12.4000,6536828046,71323471570.0000,3,43.804367,21.568627
2014-12-31,sh.600000,12.4500,15.8800,12.0300,15.6900,13035716672,178459681950.0000,3,87.354495,26.532258
2015-01-30,sh.600000,15.8800,16.7500,14.3200,14.4700,7441456604,115360850710.0000,3,49.866433,-7.775653
2015-02-27,sh.600000,14.0600,14.8000,13.8500,14.5300,2857823476,41037226380.0000,3,19.150748,0.414651
2015-03-31,sh.600000,14.5800,16.5800,13.5100,15.7900,7223688641,109834224840.0000,3,48.407133,8.671714
2015-04-30,sh.600000,15.7900,19.0500,15.7500,18.0700,9215982080,163070707800.0000,3,61.757822,14.439519
2015-05-29,sh.600000,18.0000,18.6500,16.3400,17.0400,5052118160,87798351480.0000,3,33.855080,-5.700055
2015-06-30,sh.600000,17.0400,19.1700,14.8100,16.9600,4644332124,80885163000.0000,3,31.122438,4.168358
2015-07-31,sh.600000,16.8100,18.1500,14.6200,15.0700,7342149913,121913208490.0000,3,49.200962,-11.143868
2015-08-31,sh.600000,14.9900,15.8600,11.9100,14.9600,3141454512,45063080650.0000,3,21.051407,-0.729927
2015-09-30,sh.600000,14.6600,16.6500,14.1600,16.6300,3137834290,47755399130.0000,3,21.027147,11.163102
2015-10-30,sh.600000,16.8000,16.8000,15.7300,16.3900,745640215,12108050250.0000,3,4.439490,-1.443175
2015-11-30,sh.600000,16.3000,19.7000,16.2200,18.6500,2526979195,46253395510.0000,3,13.546965,13.788896
2015-12-31,sh.600000,18.3500,20.1200,18.0300,18.2700,1738972694,33166138682.0000,3,9.322515,-2.037534
2016-01-29,sh.600000,18.2800,18.2800,15.8800,16.9000,892490162,15504873062.0000,3,4.784579,-7.498632
2016-02-29,sh.600000,16.9900,18.4800,16.4100,18.4500,275172391,4791765798.0000,3,1.475181,9.171598
2016-03-31,sh.600000,18.4500,18.6300,16.6100,17.9300,683389354,12031382178.0000,3,3.663604,-2.818428
2016-04-29,sh.600000,17.9800,18.3600,17.3100,17.8300,543002540,9718560774.0000,3,2.911000,-0.557724
2016-05-31,sh.600000,17.9500,18.4000,17.0200,18.2900,353380789,6259120078.0000,3,1.894451,2.579921
2016-06-30,sh.600000,18.3000,18.3500,15.0800,15.5700,392623716,6738298016.0000,3,2.047725,-3.610848
2016-07-29,sh.600000,15.5700,16.0300,15.4000,15.7000,445529664,6993972382.0000,3,2.171322,0.834939
2016-08-31,sh.600000,15.6800,17.0200,15.4900,16.4800,641272380,10472739924.0000,3,3.125289,4.968153
2016-09-30,sh.600000,16.4800,16.6600,16.2600,16.4900,363057109,5978688946.0000,3,1.769386,0.060680
2016-10-31,sh.600000,16.5300,16.6000,16.0100,16.2700,232617393,3806824816.0000,3,1.133678,-1.334142
2016-11-30,sh.600000,16.2600,17.4900,16.1800,17.1600,519624845,8677971254.0000,3,2.532431,5.470191
2016-12-30,sh.600000,17.1500,17.5700,15.9900,16.2100,426317952,7192029310.0000,3,2.077692,-5.536131
2017-01-26,sh.600000,16.2100,16.8400,16.1000,16.7400,302255420,4955763642.0000,3,1.473064,3.269587
2017-02-28,sh.600000,16.8200,17.0800,16.5300,16.5900,278793913,4673249392.0000,3,1.358723,-0.896057
2017-03-31,sh.600000,16.5800,16.6200,15.7000,16.0100,446555984,7197631362.0000,3,2.117935,-3.496082
2017-04-28,sh.600000,16.0500,16.2000,14.8500,15.2100,426042150,6596858541.0000,3,1.970750,-4.996877
2017-05-31,sh.600000,15.2100,15.5700,11.7200,12.8400,1086178385,15139021398.0000,3,4.477976,11.144572
2017-06-30,sh.600000,12.7800,13.2000,12.2200,12.6500,1330750427,16888226816.0000,3,4.735132,-1.479751
2017-07-31,sh.600000,12.6400,14.0200,12.4100,13.3600,1317190884,17490532128.0000,3,4.686884,5.612648
2017-08-31,sh.600000,13.4200,13.6000,12.4100,12.7100,1369766042,17508518144.0000,3,4.873959,-4.865269
2017-09-29,sh.600000,12.6800,13.1500,12.6500,12.8700,742796792,9588600812.0000,3,2.643051,1.258851
2017-10-31,sh.600000,13.2700,13.2900,12.5800,12.6100,522531066,6759389958.0000,3,1.859292,-2.020202
2017-11-30,sh.600000,12.6300,13.4400,12.3800,12.9100,1193380556,15295977866.0000,3,4.246337,2.379064
2017-12-29,sh.600000,12.9300,13.2700,12.5100,12.5900,630335315,8100474581.0000,3,2.242886,-2.478699
2018-01-31,sh.600000,12.6100,14.0000,12.6000,13.1700,2529675533,33331929282.0000,3,9.001198,4.606831
2018-02-28,sh.600000,13.1400,13.9000,12.2400,12.4600,1469635205,19206964551.0000,3,5.229318,-5.391040
2018-03-30,sh.600000,12.4000,12.6000,11.4500,11.6500,600353472,7307852092.0000,3,2.136203,-6.500803
2018-04-27,sh.600000,11.6800,12.0200,11.4900,11.6100,384718774,4498216883.0000,3,1.368923,-0.343348
2018-05-31,sh.600000,11.3300,11.3300,10.3900,10.5500,512489952,5578084884.0000,3,1.985580,-9.130060
2018-06-29,sh.600000,10.6000,10.8300,9.3200,9.5600,444682049,4475075785.0000,3,1.582286,-9.383886
2018-07-31,sh.600000,9.5500,10.2000,9.1700,10.1700,432968988,4183505816.0000,3,1.540609,7.504098
2018-08-31,sh.600000,10.2600,10.4300,9.6600,10.3300,444508687,4491287146.0000,3,1.581670,1.573255
2018-09-28,sh.600000,10.2700,10.7500,9.9500,10.6200,375137970,3864050691.0000,3,1.334832,2.807357
2018-10-31,sh.600000,10.3900,11.1200,9.7100,10.9800,564698392,5919030349.0000,3,2.009334,3.389831
2018-11-30,sh.600000,11.0500,11.2500,10.4300,10.7100,461911655,4999275439.0000,3,1.643594,-2.459016
2018-12-28,sh.600000,10.9900,11.1000,9.6000,9.8000,449765261,4701236442.0000,3,1.600374,-8.496732
2019-01-31,sh.600000,9.7400,10.7300,9.5800,10.7300,440419412,4490181199.0000,3,1.567119,9.489796
2019-02-28,sh.600000,10.8200,12.1500,10.6200,11.7400,531529931,6002415050.0000,3,1.891312,9.412861
2019-03-29,sh.600000,11.8100,12.3800,10.9000,11.2800,953078051,11028800521.0000,3,3.391283,-3.918228
2019-04-30,sh.600000,11.3600,12.2000,11.2800,11.9700,1204335489,14080156215.0000,3,4.285317,6.117021
2019-05-31,sh.600000,11.7500,11.9400,10.9500,11.1300,950541659,10809169540.0000,3,3.382257,-7.017544
2019-06-28,sh.600000,11.1700,12.3200,11.1300,11.6800,819069232,9600305929.0000,3,2.914447,8.203550
2019-07-31,sh.600000,11.8600,12.0000,11.2200,11.8700,693897616,8059536784.0000,3,2.469300,1.626712
2019-08-30,sh.600000,11.7600,11.8500,10.9700,11.2800,695639123,7886874889.0000,3,2.475100,-4.970514
2019-09-30,sh.600000,11.3000,12.1800,11.2400,11.8400,677683247,8007390083.0000,3,2.411300,4.964539
2019-10-31,sh.600000,11.8000,13.3300,11.8000,12.5100,1087462583,13867514876.0000,3,3.869600,5.658784
2019-11-29,sh.600000,12.5000,13.1900,11.8900,11.9100,810490073,10048767789.0000,3,2.883800,-4.796163
2019-12-31,sh.600000,11.9600,12.5500,11.7000,12.3700,647682816,7865092088.0000,3,2.304800,3.862301
2020-01-23,sh.600000,12.4700,12.6900,11.3200,11.3500,571629566,6964347366.0000,3,2.034000,-8.245756
2020-02-28,sh.600000,10.2200,11.3900,10.2200,10.8500,817661375,8916089889.0000,3,2.909300,-4.405286
2020-03-31,sh.600000,10.9500,11.3200,9.8200,10.1500,874828577,9265607713.0000,3,3.112800,-6.451613
2020-04-30,sh.600000,10.1100,10.7900,9.9800,10.6300,444434445,4553876272.0000,3,1.581500,4.729064
2020-05-29,sh.600000,10.4400,10.5700,10.1300,10.5700,380162810,3948919121.0000,3,1.352600,-0.564440
2020-06-30,sh.600000,10.6300,10.8700,10.3500,10.5800,461149258,4880871787.0000,3,1.640800,0.094607
2020-07-31,sh.600000,10.5900,12.6900,10.3100,10.3600,1790387315,20404649763.0400,3,6.370700,3.252035
2020-08-31,sh.600000,10.4000,10.9800,10.3100,10.3600,1057923933,11143344672.0700,3,3.764400,0.000000
2020-09-30,sh.600000,10.3100,10.3600,9.3500,9.3900,1075852736,10629547559.3000,3,3.688700,-9.362934
2020-10-30,sh.600000,9.4400,9.9300,9.2500,9.2600,865978311,8302951531.8700,3,2.950300,-1.384452
2020-11-30,sh.600000,9.2800,10.5300,9.2200,10.0600,1521195270,14772533850.7700,3,5.182600,8.639309
