date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2019-01-04,sh.600000,9.7400,10.0000,9.5800,9.9600,69589928,680566217.0000,3,0.247618,1.632653
2019-01-11,sh.600000,10.0900,10.1600,9.9100,10.0500,96858664,969840985.0000,3,0.344647,0.903614
2019-01-18,sh.600000,10.0300,10.4400,10.0100,10.4300,100826494,1027233700.0000,3,0.358765,3.781095
2019-01-25,sh.600000,10.3600,10.5600,10.2300,10.5000,86421959,896050770.0000,3,0.307510,0.671141
2019-02-01,sh.600000,10.5300,10.8200,10.3800,10.7700,105841710,1121093800.0000,3,0.376610,2.571429
2019-02-15,sh.600000,10.6200,10.9300,10.6200,10.6600,104808939,1126831684.0000,3,0.372936,-1.021356
2019-02-22,sh.600000,10.7500,11.0100,10.7000,11.0100,119651103,1298485814.0000,3,0.425748,3.283302
2019-03-01,sh.600000,11.0300,12.1500,11.0300,12.0200,351205167,4120246621.0000,3,1.249673,9.173479
2019-03-08,sh.600000,12.1200,12.3800,11.3600,11.5000,298571498,3565238213.0000,3,1.062390,-4.326123
2019-03-15,sh.600000,11.4400,11.6900,11.3000,11.4300,201614060,2316684927.0000,3,0.717392,-0.608696
2019-03-22,sh.600000,11.4500,11.6700,11.3100,11.3900,169178698,1945569928.0000,3,0.601979,-0.349956
2019-03-29,sh.600000,11.2800,11.3000,10.9000,11.2800,220459174,2453554111.0000,3,0.784447,-0.965759
2019-04-04,sh.600000,11.3600,11.7100,11.2900,11.7100,242855671,2795453339.0000,3,0.864139,3.812057
2019-04-12,sh.600000,11.7900,11.9600,11.3500,11.4900,252240388,2929103789.0000,3,0.897532,-1.878736
2019-04-19,sh.600000,11.6700,12.2000,11.4300,12.0100,338393799,4014815528.0000,3,1.204087,4.525674
2019-04-26,sh.600000,12.0200,12.0700,11.2800,11.3200,208783955,2432022122.0000,3,0.742904,-5.745212
2019-04-30,sh.600000,11.3500,12.0900,11.3400,11.9700,162061676,1908761437.0000,3,0.576655,5.742049
